"ID"	"logFC"	"P.Value"
"A_55_P2372228"	"2.9019239888"	"1.27741080772939E-011"
"A_51_P436201"	"0.1495127276"	"0.1048990059"
"A_51_P108228"	"0.1660665258"	"0.2690792383"
"A_30_P01023752"	"0.2141887708"	"0.0391236352"
"A_51_P104897"	"0.1053965789"	"0.0007211817"
"A_55_P2040490"	"0.2293115451"	"0.2963414203"
"A_55_P2253348"	"0.1369646778"	"0.0075577318"
"A_55_P2007377"	"0.1014399448"	"0.0523295868"
"A_55_P2110250"	"0.2443999305"	"0.0219174851"
"A_51_P330428"	"0.4860187777"	"3.07729823039791E-008"
"A_66_P109673"	"0.1800961616"	"3.91093844858725E-006"
"A_55_P2008896"	"0.1405586879"	"0.00050605"
"A_30_P01030312"	"0.2108857956"	"0.0317658099"
"A_30_P01027288"	"0.2374083122"	"0.1148419102"
"A_51_P397876"	"0.3830468331"	"0.0009769326"
"A_30_P01022060"	"0.1865877746"	"0.0937990912"
"A_55_P2117579"	"0.1102854463"	"0.2751723475"
"A_51_P156800"	"0.0694685585"	"0.0579161839"
"A_30_P01023440"	"0.8261582346"	"5.81488787240634E-007"
"A_55_P2117741"	"0.1225396266"	"0.0089150225"
"A_66_P135885"	"0.1465046541"	"0.1025962134"
"A_30_P01030160"	"0.0960179991"	"0.4609291953"
"A_55_P2145706"	"0.1761540483"	"1.47383136403855E-005"
"A_55_P2049949"	"0.1425211435"	"0.3942566238"
"A_51_P327657"	"1.0539435807"	"4.37783930154518E-009"
"A_55_P2045765"	"0.0950350464"	"0.3208825536"
"A_55_P2170881"	"0.1015485071"	"0.0915300074"
"A_30_P01022993"	"0.1841224344"	"0.0560041762"
"A_30_P01021899"	"0.1453279597"	"0.3747001857"
"A_51_P195506"	"4.6772392719"	"9.97101404949725E-018"
"A_30_P01017751"	"0.1645028187"	"0.0151601558"
"A_30_P01018616"	"0.0782666697"	"0.0858851029"
"A_55_P2172375"	"0.1265398939"	"0.1315738299"
"A_55_P2002165"	"0.0787244847"	"0.1042213768"
"A_30_P01029814"	"0.2111021732"	"0.0360022076"
"A_55_P2138071"	"0.0297731154"	"0.3854546658"
"A_55_P2165120"	"0.2239424531"	"0.0176885331"
"A_55_P2006255"	"0.2028751996"	"0.1821926388"
"A_55_P2087607"	"0.1301372325"	"0.0593857903"
"A_30_P01026850"	"0.2235899152"	"0.0010733046"
"A_30_P01020040"	"0.1656294125"	"0.0332935784"
"A_52_P142208"	"0.2008260482"	"0.0003746614"
"A_51_P124254"	"2.8751482078"	"9.72582332540887E-018"
"A_55_P1975445"	"0.01797917"	"0.0510203082"
"A_30_P01033257"	"0.2168935492"	"0.1366299336"
"A_55_P1971448"	"0.230279832"	"1.03323589586965E-005"
"A_51_P130095"	"1.9280884001"	"3.84308442922122E-006"
"A_55_P2022622"	"0.1121550178"	"0.6157904402"
"A_55_P2123012"	"0.1577126729"	"0.0065965322"
"A_52_P501049"	"0.192392585"	"6.88746241640753E-005"
"A_55_P2183672"	"0.0774148804"	"0.0061456919"
"A_66_P129769"	"0.2042897645"	"0.0210706633"
"A_55_P2100830"	"0.0455922311"	"0.6827489078"
"A_30_P01018792"	"0.4108604331"	"0.8233960634"
"A_52_P588771"	"0.136670059"	"0.1201114042"
"A_30_P01030301"	"0.1274344594"	"0.2332346836"
"A_55_P2008996"	"0.1855967027"	"0.6433560273"
"A_52_P6451"	"0.2202112833"	"0.000033816"
"A_55_P2154480"	"0.1618014021"	"0.1342653209"
"A_55_P2140328"	"0.0598952702"	"5.367506802335E-005"
"A_30_P01026277"	"0.1380687019"	"0.3624381639"
"A_52_P306236"	"0.1734354513"	"0.2221896466"
"A_55_P2383283"	"0.0582616373"	"0.6114767808"
"A_55_P2188624"	"0.2713399201"	"0.0086920943"
"A_55_P2087518"	"0.0303993035"	"0.6518671263"
"A_55_P1970954"	"0.1539185606"	"0.0129661391"
"A_52_P329398"	"0.4034683698"	"0.0519604454"
"A_55_P2328787"	"0.2967327797"	"7.18687906498598E-005"
"A_66_P120567"	"0.4324006173"	"0.0011091195"
"A_55_P2038640"	"0.2264208356"	"0.1176149269"
"A_55_P2091831"	"0.1184093916"	"0.7895365787"
"A_51_P100298"	"0.0963705304"	"0.7281374658"
"A_55_P2255399"	"0.0451751445"	"0.9724369449"
"A_55_P2173952"	"0.1506218306"	"0.0694514249"
"A_30_P01021519"	"0.1403593711"	"0.2477005135"
"A_55_P2032024"	"0.177973438"	"0.4077242443"
"A_51_P116088"	"0.0391282219"	"0.0528860131"
"A_30_P01028923"	"0.1748549734"	"0.0882005434"
"A_51_P114634"	"0.7328508063"	"3.33688602202997E-008"
"A_51_P122238"	"0.0811779977"	"0.0001518695"
"A_51_P114616"	"1.9357596752"	"6.20716914926929E-012"
"A_52_P120122"	"0.2041386485"	"0.1285064495"
"A_51_P474658"	"0.1543830021"	"0.1727951571"
"A_55_P2185676"	"0.1865253635"	"0.2118680653"
"A_30_P01024186"	"0.1359468569"	"0.5681819496"
"A_30_P01017954"	"0.1557996228"	"0.1148771146"
"A_66_P115757"	"0.08474054"	"0.0311082657"
"A_55_P2094324"	"0.2017809254"	"0.0375423346"
"A_30_P01020068"	"0.1461172664"	"0.2912660866"
"A_52_P266320"	"0.1667466796"	"0.0131583329"
"A_55_P2001753"	"0.3508947525"	"0.0490178711"
"A_30_P01026173"	"0.1554074657"	"0.4583643696"
"A_55_P2136606"	"0.4160371511"	"0.1683342378"
"A_55_P2065074"	"0.150470147"	"0.0973182853"
"A_30_P01029687"	"0.1358781708"	"0.1921144332"
"A_51_P125691"	"0.2775816374"	"0.4095838724"
"A_51_P117236"	"0.2898506078"	"2.16085741819341E-006"
"A_51_P519251"	"0.5594265945"	"7.39456373144444E-008"
"A_52_P476431"	"0.3574526445"	"2.29111139153212E-005"
"A_55_P2047168"	"0.1067568506"	"0.6853970723"
"A_55_P2064180"	"0.1698018963"	"0.1371250261"
"A_55_P2031966"	"0.1997779672"	"0.4067515314"
"A_66_P135165"	"0.2685706073"	"7.24636227087028E-008"
"A_55_P2129691"	"0.1230331432"	"0.0360980445"
"A_51_P112734"	"0.1297209342"	"0.0125658864"
"A_55_P2025203"	"0.2185980736"	"0.1172466894"
"A_30_P01027714"	"0.1037733306"	"0.0471469624"
"A_30_P01020443"	"0.2120822875"	"0.007229149"
"A_30_P01018957"	"0.0347975953"	"0.6845873741"
"A_55_P2059860"	"0.2899974226"	"0.0003942673"
"A_55_P1953003"	"0.164114519"	"0.0495902575"
"A_55_P1955532"	"0.2217470248"	"0.0079854449"
"A_55_P2070786"	"0.1818535608"	"0.0327896099"
"A_55_P2027412"	"0.1464250061"	"0.1303654385"
"A_51_P144770"	"0.3659808804"	"4.44434366176608E-008"
"A_51_P120589"	"0.3411857167"	"0.0001319267"
"A_55_P2404808"	"0.1928038318"	"0.0625813153"
"A_30_P01025161"	"0.2045542494"	"0.0349725006"
"A_52_P114282"	"0.1062115874"	"0.0234037398"
"A_55_P1978018"	"0.3278643766"	"0.0339485297"
"A_30_P01031829"	"0.2347469424"	"0.0327106158"
"A_52_P365011"	"1.0835521716"	"3.64410001208137E-009"
"A_52_P580582"	"0.0954024587"	"0.3102938895"
"A_55_P2117033"	"0.2071609699"	"0.1664349744"
"A_55_P1975456"	"0.1860689053"	"0.0003495068"
"A_55_P2109342"	"0.1150845577"	"0.3726264135"
"A_30_P01031351"	"0.1349605473"	"0.255396352"
"A_55_P2408330"	"0.0853569429"	"0.0832997993"
"A_55_P2134427"	"0.081564041"	"3.2190859810183E-005"
"A_55_P2062324"	"0.1411483433"	"0.0953586392"
"A_55_P2130104"	"0.1639989817"	"0.0238322333"
"A_30_P01018437"	"0.1310579666"	"0.1784801397"
"A_51_P118132"	"0.428123507"	"8.4291632959162E-008"
"A_55_P2102664"	"0.6159876787"	"0.2237949495"
"A_51_P435198"	"0.2387329649"	"0.000016757"
"A_51_P165934"	"0.0444167499"	"0.0750151508"
"A_55_P1987336"	"0.2418656963"	"0.058648276"
"A_51_P121818"	"0.0987636404"	"0.0011569047"
"A_30_P01026525"	"0.20338544"	"0.0251464769"
"A_30_P01028853"	"0.2292480094"	"0.3418539624"
"A_55_P1964648"	"0.1220761274"	"0.0391006555"
"A_55_P2102816"	"0.0189512969"	"0.4774653823"
"A_55_P1955483"	"1.0001959934"	"1.16273631483654E-013"
"A_51_P124719"	"0.1582108013"	"0.0031639309"
"A_51_P211325"	"0.2363532856"	"2.60098512557132E-007"
"A_55_P2164055"	"0.1500207063"	"0.0086305008"
"A_30_P01031037"	"0.0971097449"	"0.0424499707"
"A_30_P01027121"	"0.0727446448"	"0.1781644373"
"A_51_P236469"	"0.2760512125"	"3.98689311695238E-006"
"A_55_P2164221"	"0.0350581426"	"0.0173301359"
"A_51_P114966"	"0.0744159394"	"0.0732846315"
"A_55_P2092958"	"0.1306841061"	"0.0024538873"
"A_55_P2131979"	"0.1458259663"	"0.2076074849"
"A_51_P100625"	"0.1359421946"	"0.3391764421"
"A_52_P586004"	"3.7927721177"	"1.03995618224632E-013"
"A_51_P224175"	"0.0365414359"	"0.570468319"
"A_30_P01025872"	"0.2212655303"	"0.314161394"
"A_66_P104833"	"0.3270353158"	"0.0202708142"
"A_30_P01025563"	"0.1469531027"	"0.1783518955"
"A_55_P2009943"	"0.0388791926"	"0.0410598715"
"A_55_P2002954"	"0.0817243129"	"0.816145997"
"A_51_P385635"	"0.1021409481"	"8.34323640688959E-007"
"A_55_P2246700"	"0.0915272564"	"0.74153023"
"A_30_P01030768"	"0.1777822687"	"0.2573492338"
"A_55_P2117764"	"0.3254388646"	"0.5492322303"
"A_30_P01025002"	"0.1616056722"	"0.058431508"
"A_55_P1995427"	"0.5985230176"	"0.1043625639"
"A_52_P373893"	"0.2545888671"	"0.0007129578"
"A_52_P23661"	"0.090561846"	"0.74738633"
"A_30_P01024081"	"0.0837186663"	"0.0492146429"
"A_55_P2115141"	"0.1290012808"	"0.1361356126"
"A_55_P2180156"	"0.2591251102"	"0.1029952191"
"A_30_P01024501"	"0.1015798685"	"0.4618698288"
"A_55_P2114838"	"0.0383349193"	"0.0168772696"
"A_30_P01033284"	"0.1146863677"	"0.0668321071"
"A_52_P339722"	"0.0585993477"	"0.3719330252"
"A_52_P488427"	"0.2681552064"	"0.0734963851"
"A_55_P1975667"	"0.1073401863"	"0.3563989997"
"A_30_P01020724"	"0.2057856285"	"0.0022807049"
"A_55_P2117146"	"0.3676939917"	"0.0009456131"
"A_55_P1991440"	"0.0393187888"	"0.0266990442"
"A_30_P01031650"	"0.594094324"	"9.76659162668617E-005"
"A_30_P01030711"	"0.1332257522"	"0.1856386472"
"A_55_P1958503"	"0.1354601306"	"0.2535363681"
"A_52_P67995"	"0.27071601"	"0.2377265098"
"A_66_P114042"	"0.0948790497"	"0.5569028408"
"A_55_P2457153"	"0.0520293577"	"0.9482372534"
"A_51_P482148"	"0.0971081268"	"0.3711613714"
"A_55_P2125823"	"0.185369191"	"0.0002639904"
"A_66_P102581"	"0.060857381"	"0.0777226068"
"A_51_P112355"	"5.317990482"	"2.66713680407297E-010"
"A_55_P2088237"	"0.1273639895"	"0.2519792382"
"A_51_P179531"	"0.1206643461"	"0.0570931508"
"A_55_P2040583"	"0.0962277675"	"0.102528138"
"A_30_P01031337"	"0.3392539256"	"3.55412428340082E-005"
"A_55_P1991770"	"0.4920791177"	"2.40367965076703E-009"
"A_51_P117604"	"0.0418356366"	"0.0383017017"
"A_55_P1994633"	"0.1262156571"	"0.2733660091"
"A_52_P347764"	"0.098454648"	"0.5917283653"
"A_55_P2400691"	"0.1827339975"	"7.70314407550686E-005"
"A_30_P01025678"	"0.2526738937"	"0.0152432032"
"A_30_P01030886"	"0.2337695043"	"0.0812262244"
"A_55_P1978336"	"0.085439932"	"0.3749732912"
"A_51_P435363"	"0.3520034454"	"0.0005540028"
"A_52_P116134"	"0.2923232062"	"0.0004963342"
"A_55_P1960659"	"0.091337348"	"0.4561961403"
"A_55_P1991945"	"0.2170828372"	"0.0001743796"
"A_55_P2055864"	"0.1212133725"	"0.1386249046"
"A_55_P2107995"	"0.2001644539"	"0.2892729428"
"A_55_P2139886"	"0.2031609389"	"0.2424106099"
"A_55_P1972991"	"0.585463213"	"6.86223658274282E-012"
"A_30_P01018376"	"0.3003917835"	"0.0036829633"
"A_52_P116253"	"0.2321410654"	"0.0036624225"
"A_51_P232142"	"0.0185386815"	"0.5046592033"
"A_51_P112308"	"0.5604264805"	"0.000000008"
"A_55_P2077497"	"0.3510305807"	"0.010292303"
"A_55_P1997585"	"0.0921857965"	"0.2586869373"
"A_30_P01032673"	"0.1862178559"	"0.0773765147"
"A_55_P2159865"	"0.0808943906"	"0.0392029536"
"A_55_P2013158"	"0.1354976714"	"0.0569528756"
"A_55_P2089467"	"0.1767796572"	"0.0573865424"
"A_52_P637282"	"0.2067054966"	"0.0002424981"
"A_65_P16630"	"0.1115203211"	"0.1225880626"
"A_55_P2048508"	"0.1414324675"	"0.0317315614"
"A_30_P01027340"	"0.1628224991"	"0.0078090317"
"A_55_P2149791"	"0.2636879478"	"0.0001502513"
"A_30_P01029403"	"0.1690139503"	"0.0044803595"
"A_66_P101786"	"0.315337862"	"5.64442633823272E-005"
"A_55_P2085979"	"0.273335277"	"0.0455475946"
"A_51_P217598"	"0.195645857"	"0.1435461851"
"A_55_P1969885"	"0.1719333791"	"0.0314236238"
"A_55_P2073642"	"0.1939346022"	"0.0182628696"
"A_30_P01017657"	"0.1071999411"	"0.2692022688"
"A_51_P101375"	"0.1421360585"	"0.1955497908"
"A_55_P2001510"	"0.035137019"	"0.0057245205"
"A_55_P2021378"	"0.0170083285"	"0.7505945272"
"A_55_P2051787"	"0.1153575913"	"0.4895743719"
"A_55_P2114697"	"0.4223527972"	"0.0086954836"
"A_30_P01026324"	"0.2574167571"	"0.2569113029"
"A_55_P1992530"	"0.1388583809"	"0.0159804432"
"A_55_P2106801"	"0.531415136"	"0.0037336275"
"A_30_P01032978"	"0.2948864519"	"0.0943751041"
"A_30_P01019936"	"0.0733588549"	"0.4191346752"
"A_55_P2023523"	"0.115140435"	"0.6735062478"
"A_51_P124798"	"0.1340876742"	"8.26564192866038E-006"
"A_55_P1952915"	"0.2190961669"	"3.79199402983004E-005"
"A_55_P2123484"	"0.5199803445"	"0.2332952124"
