ID,logFC,P.Value
gene_6004,0.3553669491,0.0342777246
gene_1602,1.0207729369,0.0334551079
gene_8893,0.6710573657,0.0261146251
gene_16631,0.8399677652,0.0107678084
gene_15550,0.7622393826,0.0308244247
gene_9495,0.8411122971,0.0352852562
gene_478,-1.3641046361,0.030387468
gene_12518,-1.0621958736,0.0320914076
gene_384,0.9848168851,0.0333452673
gene_5836,0.4601268556,0.0364661641
gene_2686,0.7750225092,0.0359030453
gene_256,1.0683568698,0.0229320496
gene_12217,-1.2781643357,0.0316477525
gene_9246,1.8175297481,0.0005421824
gene_1002,1.3089554266,0.0005314998
gene_525,-0.4725882105,0.0348014077
gene_5171,0.4943925131,0.0379388088
gene_13891,0.4454455037,0.0381048027
gene_1146,-1.0959452205,0.0318718912
gene_2749,-0.2130318423,0.0365065106
gene_4136,-0.1341626375,0.0315184477
gene_15713,-0.0536071471,0.0386066389
gene_15601,0.5907725988,0.039912118
gene_17044,-0.1168345539,0.0377842736
gene_6901,0.3177221413,0.0407241333
gene_8468,0.6122019907,0.0209289539
gene_14030,0.7101810255,0.0359002117
gene_14061,0.5151424459,0.0395071217
gene_4943,0.6452339546,0.0338569438
gene_9800,0.5690289691,0.041058255
gene_2527,0.522702528,0.0353256476
gene_532,-0.0914866007,0.0416534499
gene_6819,0.0213386555,0.0328427243
gene_626,-0.2033257017,0.0422623269
gene_15028,0.7126874636,0.037213485
gene_9996,-1.1034384362,0.0395729305
gene_657,-0.3236080931,0.0418295021
gene_3791,0.8750213102,0.032822457
gene_5449,0.0419272122,0.014540251
gene_4768,0.0357639472,0.0429844879
gene_1790,-0.2865266411,0.0382310977
gene_12072,-0.0846624387,0.0390845431
gene_9272,0.5114533545,0.0428379571
gene_9911,0.6080657881,0.044409901
gene_1429,-0.6184035004,0.0429099112
gene_13716,0.7612891017,0.0388788188
gene_2151,0.5545680279,0.0430423709
gene_9279,-0.5280849795,0.0444769389
gene_14016,-0.0975556273,0.045121266
gene_947,0.6402865368,0.0424411989
gene_11296,-0.1177037801,0.0416781057
gene_3180,-0.0285900097,0.0451062988
gene_15346,0.4525423983,0.0312178013
gene_10689,-1.0415979721,0.040387757
gene_15534,0.6381645126,0.045617635
gene_5560,0.482222083,0.0469647001
gene_1762,-2.1128291917,0.0361402782
gene_10534,0.9004898553,0.0404270538
gene_4818,-0.4507233029,0.0389718084
gene_10106,0.7436055203,0.0462252393
gene_16180,-0.1606596043,0.0475665499
gene_6089,0.4032934614,0.0446218848
